id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
99987420@OBS,https://observation.org/observation/99987420,OBS.99987420,HumanObservation,Observations,Aix galericulata,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Mandarin Duck,NA,1,unknown,undetermined,21.0356,52.2138,WGS84,NA,15,Europe,Poland,PL,NA,Poland - Warszawa,NA,NA,NA,2015-03-11,23:16:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.99987420,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
99983635@OBS,https://observation.org/observation/99983635,OBS.99983635,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,NA,10,unknown,undetermined,22.7926540366,53.1208293805,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2015-03-10,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.99983635,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
99983630@OBS,https://observation.org/observation/99983630,OBS.99983630,HumanObservation,Observations,Alces alces,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,Elk,NA,1,unknown,undetermined,22.7942562099,53.1181705482,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Narwianski NP,NA,NA,NA,2015-03-10,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.99983630,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-14
99983169@OBS,https://observation.org/observation/99983169,OBS.99983169,HumanObservation,Observations,Spinulum annotinum,species,Plantae,LYCOPODIACEAE,Plantae|LYCOPODIACEAE,Interrupted Clubmoss,NA,50,unknown,undetermined,22.93,53.01,WGS84,WGS84 coordinates generalized with formula: `coord = floor(coord * 100) / 100`,1000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2015-03-10,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.99983169,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-15
98611955@OBS,https://observation.org/observation/98611955,OBS.98611955,HumanObservation,Observations,Mergus merganser,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Common Merganser,NA,2,unknown,undetermined,21.0293,52.2147,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Warszawa,NA,NA,NA,2015-03-10,15:06:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98611955,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
98611953@OBS,https://observation.org/observation/98611953,OBS.98611953,HumanObservation,Observations,Sciurus vulgaris,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Animalia|SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Eurasian Red Squirrel,NA,4,unknown,undetermined,21.0303,52.2147,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Warszawa,NA,NA,NA,2015-03-10,15:05:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98611953,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-30
98611951@OBS,https://observation.org/observation/98611951,OBS.98611951,HumanObservation,Observations,Corvus cornix,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Hooded Crow,NA,2,unknown,undetermined,21.0106,52.2504,WGS84,NA,5,Europe,Poland,PL,NA,Poland - Warszawa,NA,NA,NA,2015-03-09,12:56:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98611951,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
98601371@OBS,https://observation.org/observation/98601371,OBS.98601371,HumanObservation,Observations,Aglais urticae,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Tortoiseshell,NA,1,unknown,undetermined,22.9287385932,53.0098379063,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2015-03-10,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98601371,Stichting Natuurinformatie,CC BY-NC 4.0,2015-04-07
98570200@OBS,https://observation.org/observation/98570200,OBS.98570200,HumanObservation,Observations,"Sarcoscypha coccinea sl, incl. austriaca",multispecies,Fungi,SARCOSCYPHACEAE,Fungi|SARCOSCYPHACEAE,NA,NA,1,unknown,undetermined,22.9286026954,53.0151221091,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2015-03-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98570200,Stichting Natuurinformatie,CC BY-NC 4.0,2019-06-18
98527237@OBS,https://observation.org/observation/98527237,OBS.98527237,HumanObservation,Observations,Corvus cornix,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Hooded Crow,NA,1,unknown,undetermined,16.9567,52.4075,WGS84,NA,5,Europe,Poland,PL,NA,Poland - Wielkopolskie,NA,NA,NA,2015-03-08,11:23:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98527237,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-08
98481952@OBS,https://observation.org/observation/98481952,OBS.98481952,HumanObservation,Observations,Leucorrhinia caudalis,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Lilypad Whiteface,NA,1,imago,undetermined,22.8,54.2,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-14,12:20:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98481952,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-07
98481620@OBS,https://observation.org/observation/98481620,OBS.98481620,HumanObservation,Observations,Sympetrum sanguineum,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Ruddy Darter,NA,1,imago,female,22.8098206222,54.2252522757,WGS84,NA,1000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-14,12:18:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98481620,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-06
98481529@OBS,https://observation.org/observation/98481529,OBS.98481529,HumanObservation,Observations,Orthetrum cancellatum,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Black-tailed Skimmer,NA,1,imago,female,22.8098206222,54.2252522757,WGS84,NA,1000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-14,12:15:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.98481529,Stichting Natuurinformatie,CC BY-NC 4.0,2015-03-06
